id;name;category;unit;protein_type;notes
7a75ef04-bbcf-4cc1-8cee-67d780da7755;leite condensado ;dairy;cup;;
4ffc37d1-74ad-4200-be40-719fd7a50334;leite de amêndoas;other;cup;;
be1cf561-e3e1-4149-aa0c-b53213a29979;leite de coco;other;cup;;
e7100a1e-d63f-4c5c-b7c5-8a3ed544a7ac;leite evaporado;dairy;cup;;
785c09a5-3191-4b0c-b1aa-bfb61936f14c;leitelho;dairy;cup;;
a710fec9-da2b-4cee-a285-2e7429d1fb1a;lentilhas;pulse;cup;;
f01f94b7-7e11-4928-95fb-80e389520353;limão;fruit;piece;;
e5268110-462d-4dcc-a03d-bcc938ba1a6d;limão siciliano;fruit;piece;;
189e4a05-6dd6-4d25-a099-9d9644bf65d5;linguiça andouille;protein;g;pork;
889f3e03-0e68-46ae-af80-d65a3de2cb7e;linguiça calabresa;protein;g;charcuterie;
78badb50-2669-4af0-9c1f-ab9f75234f56;linguiça de pernil;protein;cup;charcuterie;
cbd5de32-dad9-4748-b463-09bd7366402b;linguiça portuguesa;protein;g;charcuterie;
4db3ce22-07b9-4104-ba78-77b0cac2c604;linguine;other;g;;
5edd01b2-bca3-4d7a-b677-0a119159763a;lombo suíno;protein;g;pork;
1110ce0e-bb77-4b21-bde5-ab73ed0959c1;lula;protein;g;seafood;
13dac55c-684a-4465-a32d-a05f4ccde598;maionese;seasoning;tbsp;;
f7d984a8-67df-4f19-b921-e0716c587030;mamão;fruit;piece;;
0859727e-f0b2-4af0-86ef-8f25a33a5372;mandioca;vegetable;piece;;
be44ccdc-403d-483a-a8dd-8217fdade617;manga;fruit;piece;;
5296ee58-bbad-441d-957f-81fb8660c826;manjericão;seasoning;cup;;
8c793885-a349-4c45-991f-fef8894714e3;manjericão ;seasoning;cup;;
5596f022-299b-4b1a-b333-735e25b64568;manteiga;dairy;tbsp;;
23770267-df99-4ddb-b898-4f1c72aacc80;manteiga de amendoim;nuts_and_seeds;tbsp;;
4bf0024e-2d99-40ce-9930-5f5bf8e1ed95;manteiga sem sal;dairy;tbsp;;
7c96c53e-319b-4f86-9bda-97579e5a7ab0;margarina;other;tbsp;;
b630246b-a6b1-46be-aa36-4d6a33b08599;mel;sugar_products;tbsp;;
